id,price,raw_price_text,product_name,slug,merchant_name,price_type
120229,1,"1 DH","Babymoov Milky Now 1 pcs",babymoov-milky-now-1-pcs,"Orchestra Maroc",single_digit
120330,1,"1 DH","Babymoov Essential",babymoov-essential,"Orchestra Maroc",single_digit
126543,1,"1 DH","ADATA AD4U320016G22-SGN Barrette Mémoire 16 Go 1 x 16 Go DDR4 3200 MHz",adata-ad4u320016g22-sgn-barrette-memoire-16-go-1-x-16-go-ddr4-3200-m-hz,Techspace,single_digit
143248,1,"1 DH","Philips AVENT SCF870/22 blender 0,4 L Mélangeur de table 400 W",philips-avent-scf870-22-blender-0-4-l-melangeur-de-table-400-w,"Orchestra Maroc",single_digit
143655,1.05,"1.05 DH","Solac CE4480 machine à café Semi-automatique Machine à expresso 1,2 L",solac-ce4480-machine-a-cafe-semi-automatique-machine-a-expresso-1-2-l,Biougnach,has_dot
143415,1.3,"1.30 DH","Tefal Ultra Fry Digital EY111B15 friteuse Unique 4,2 L 1400 W Friteuse d’air chaud Gris",tefal-ultra-fry-digital-ey111b15-friteuse-unique-4-2-l-1400-w-friteuse-d-air-chaud-gris,Biougnach,has_dot
143430,1.4,"1.40 DH","Severin FR 2445 friteuse Unique 5 L Autonome 2000 W Friteuse d’air chaud Noir, Métallique, Argent",severin-fr-2445-friteuse-unique-5-l-autonome-2000-w-friteuse-d-air-chaud-noir-metallique-argent,Biougnach,has_dot
107859,1.5,"1.50 DH","Franke 572194",franke-572194,Biougnach,has_dot
108126,1.5,"1.50 DH","Micro-ondes Whirlpool MWP 103 B",micro-ondes-whirlpool-mwp-103-b,Biougnach,has_dot
108132,1.5,"1.50 DH","Micro-ondes posable Whirlpool - MWP 253 SB",micro-ondes-posable-whirlpool-mwp-253-sb,Biougnach,has_dot
118737,1.5,"1.50 DH","Air fryer Friteuse sans huile HAF5TWA011 NOIR",air-fryer-friteuse-sans-huile-haf5twa011-noir,Biougnach,has_dot
120102,1.5,"1.50 DH","Rowenta Maestria Ultimate Experience CV9920F0",rowenta-maestria-ultimate-experience-cv9920f0,Biougnach,has_dot
135993,1.5,"1.50 DH","Epson EcoTank L121 Imprimante à réservoirs rechargeables (C11CD76413)",epson-eco-tank-l121-imprimante-a-reservoirs-rechargeables-c11cd76413,Biougnach,has_dot
143409,1.5,"1.50 DH","Moulinex EZ1308 Unique 3,5 L Friteuse Noir",moulinex-ez1308-unique-3-5-l-friteuse-noir,Biougnach,has_dot
145006,1.75,"1.75 DH","Smartphone Samsung A03 6.5"" Octa Core 4Go 128Go Android 4G Dual Sim 5 Mpx 48 Mpx 2 Mpx (SM-A035FZ)",smartphone-samsung-a03-6-5-octa-core-4go-128go-android-4g-dual-sim-5-mpx-48-mpx-2-mpx-sm-a035fz,Biougnach,has_dot
143421,1.8,"1.80 DH","Tefal Easy Fry FW5018 Unique 11 L Autonome 2000 W Friteuse d’air chaud Noir",tefal-easy-fry-fw5018-unique-11-l-autonome-2000-w-friteuse-d-air-chaud-noir,Biougnach,has_dot
123625,1.9,"1.90 DH","Whirlpool AKR 934 IX hotte Encastrée Acier inoxydable 420 m³/h E",whirlpool-akr-934-ix-hotte-encastree-acier-inoxydable-420-m3-h-e,Biougnach,has_dot
124888,1.99,"1.99 DH","Samsung Galaxy Buds Pro Casque Sans fil Ecouteurs Appels/Musique Bluetooth Violet",samsung-galaxy-buds-pro-casque-sans-fil-ecouteurs-appels-musique-bluetooth-violet,Biougnach,has_dot
124891,1.99,"1.99 DH","Samsung Galaxy Buds Pro Écouteurs Sans fil Ecouteurs Appels/Musique Bluetooth Argent",samsung-galaxy-buds-pro-ecouteurs-sans-fil-ecouteurs-appels-musique-bluetooth-argent,Biougnach,has_dot
124894,1.99,"1.99 DH","Samsung Galaxy Buds Pro Casque Sans fil Ecouteurs Appels/Musique Bluetooth Noir",samsung-galaxy-buds-pro-casque-sans-fil-ecouteurs-appels-musique-bluetooth-noir,Biougnach,has_dot
136366,1.99,"1.99 DH","Epson C11CJ68403 imprimante jets d'encres",epson-c11cj68403-imprimante-jets-d-encres,Biougnach,has_dot
144904,1.99,"1.99 DH","Galaxy A15 6.5” 4 Go + 128 Go – Bleu clair",galaxy-a15-6-5-4-go-128-go-bleu-clair,Biougnach,has_dot
145001,1.99,"1.99 DH","Samsung Galaxy A14 - 4Go | 128Go",samsung-galaxy-a14-4go-128go,Biougnach,has_dot
113507,2,"2 DH","Imprimante Canon PIXMA G3410 multifonction à réservoirs rechargeables (2315C009AB)",imprimante-canon-pixma-g3410-multifonction-a-reservoirs-rechargeables-2315c009ab,Biougnach,single_digit
136264,2.19,"2.19 DH","Epson C11CJ67408 imprimante jets d'encres",epson-c11cj67408-imprimante-jets-d-encres,Biougnach,has_dot
108150,2.2,"2.20 DH","Candy MIC 201 EX Intégré (placement) 20 L 800 W Acier inoxydable",candy-mic-201-ex-integre-placement-20-l-800-w-acier-inoxydable,Biougnach,has_dot
122753,2.25,"2.25 DH","Samsung Galaxy A13 4Go 128Go Bleu",samsung-galaxy-a13-4go-128go-bleu,Biougnach,has_dot
122756,2.25,"2.25 DH","Samsung Galaxy A13 4Go 128Go Blanc",samsung-galaxy-a13-4go-128go-blanc,Biougnach,has_dot
122758,2.25,"2.25 DH","Samsung Galaxy A13 4Go 128Go Noir",samsung-galaxy-a13-4go-128go-noir,Biougnach,has_dot
144882,2.25,"2.25 DH","Galaxy A15 6.5” 4 Go + 128 Go – Bleu",galaxy-a15-6-5-4-go-128-go-bleu,Biougnach,has_dot
107762,2.3,"2.30 DH","FOUR CANDY ELECTRIQUE 70L DOUBLE VITRAGE GRIS",four-candy-electrique-70l-double-vitrage-gris,Biougnach,has_dot
123905,2.3,"2.30 DH","Refrigerateur congelateur encastrable WHIRLPOOL ART872/A+/NF",refrigerateur-congelateur-encastrable-whirlpool-art872-a-nf,Biougnach,has_dot
143389,2.3,"2.30 DH","SteamOne Minilys Plus Défroisseur vapeur vertical 1 L 1900 W Noir",steam-one-minilys-plus-defroisseur-vapeur-vertical-1-l-1900-w-noir,Biougnach,has_dot
143405,2.3,"2.30 DH","Tefal Easy Fry EY701 Unique 5,6 L Autonome 1700 W Friteuse d’air chaud Noir, Acier inoxydable",tefal-easy-fry-ey701-unique-5-6-l-autonome-1700-w-friteuse-d-air-chaud-noir-acier-inoxydable,Biougnach,has_dot
107736,2.5,"2.50 DH","Candy CCTUS 542XH congélateur Droit Autoportante 82 L F Acier inoxydable",candy-cctus-542xh-congelateur-droit-autoportante-82-l-f-acier-inoxydable,Biougnach,has_dot
122885,2.6,"2.60 DH","Candy Timeless CHW74WX Acier inoxydable Intégré (placement) 75 cm Gaz 5 zones",candy-timeless-chw74wx-acier-inoxydable-integre-placement-75-cm-gaz-5-zones,Biougnach,has_dot
123855,2.6,"2.60 DH","Candy Timeless CHG74WX Acier inoxydable Intégré (placement) 74.5 cm Gaz 5 zones",candy-timeless-chg74wx-acier-inoxydable-integre-placement-74-5-cm-gaz-5-zones,Biougnach,has_dot
107777,2.7,"2.70 DH","Whirlpool OMR35HR0X four 71 L 2750 W A Noir, Acier inoxydable",whirlpool-omr35hr0x-four-71-l-2750-w-a-noir-acier-inoxydable,Biougnach,has_dot
122275,2.75,"2.75 DH","Samsung Galaxy Watch6 Bluetooth (44mm)",samsung-galaxy-watch6-bluetooth-44mm,Biougnach,has_dot
122633,2.75,"2.75 DH","Samsung Galaxy A24 - 6Go / 128Go (Dual Sim)",samsung-galaxy-a24-6go-128go-dual-sim,Biougnach,has_dot
123706,2.95,"2.95 DH","Lave Linge Whirlpool Hublot, 6 kg, 1000 Tours/min, 6ème sens, Silver, WMTA 6101 S NA",lave-linge-whirlpool-hublot-6-kg-1000-tours-min-6eme-sens-silver-wmta-6101-s-na,Biougnach,has_dot
134143,3.03,"3.03 DH","Seagate NAS IronWolf 12 TB 3.5"" SATA III (ST12000VN0008)",seagate-nas-iron-wolf-12-tb-3-5-sata-iii-st12000vn0008,"Senetic Maroc",has_dot
134340,3.04,"3.04 DH","Samsung 980 PRO M.2 1000 Go PCI Express 4.0 V-NAND MLC NVMe (MZ-V8P1T0BW)",samsung-980-pro-m-2-1000-go-pci-express-4-0-v-nand-mlc-nv-me-mz-v8p1t0bw,"Senetic Maroc",has_dot
142045,3.04,"3.04 DH","Canon imageFORMULA DR-C225 II Numériseur chargeur automatique de documents (adf) + chargeur manuel 600 x 600 DPI A4 Noir (3258C003)",canon-image-formula-dr-c225-ii-numeriseur-chargeur-automatique-de-documents-adf-chargeur-manuel-600-x-600-dpi-a4-noir-3258c003,"Senetic Maroc",has_dot
134088,3.06,"3.06 DH","Western Digital Gold 3.5"" 12000 Go Série ATA III (WD121KRYZ)",western-digital-gold-3-5-12000-go-serie-ata-iii-wd121kryz,"Senetic Maroc",has_dot
114247,3.07,"3.07 DH","Imprimante Multifonction Laser monochrome Kyocera Ecosys M2135dn / Réseau / USB",imprimante-multifonction-laser-monochrome-kyocera-ecosys-m2135dn-reseau-usb,"Senetic Maroc",has_dot
123847,3.1,"3.10 DH","Whirlpool GMAL 6422/IXL Acier inoxydable Intégré (placement) 59 cm Gaz 4 zones",whirlpool-gmal-6422-ixl-acier-inoxydable-integre-placement-59-cm-gaz-4-zones,Biougnach,has_dot
123866,3.1,"3.10 DH","Whirlpool AKT 5000/NB plaque Noir Intégré (placement) Gaz 4 zones",whirlpool-akt-5000-nb-plaque-noir-integre-placement-gaz-4-zones,Biougnach,has_dot
125195,3.1,"3.10 DH","Jabra Pro 920 Duo Casque Sans fil Arceau Bureau/Centre d'appels Noir (920-29-508-101)",jabra-pro-920-duo-casque-sans-fil-arceau-bureau-centre-d-appels-noir-920-29-508-101,"Senetic Maroc",has_dot
141939,3.1,"3.10 DH","HP ScanJet Pro 3600 f1 Scanner (20G06A#B19)",hp-scan-jet-pro-3600-f1-scanner-20g06a-b19,"Senetic Maroc",has_dot
140932,3.11,"3.11 DH","AMD Ryzen 7 PRO 7745 processeur 3,8 GHz 32 Mo L3 Boîte",amd-ryzen-7-pro-7745-processeur-3-8-g-hz-32-mo-l3-boite,"Senetic Maroc",has_dot
116914,3.16,"3.16 DH","Intel Core i9-12900KS processeur 30 Mo Smart Cache Boîte (BX8071512900KS)",intel-core-i9-12900ks-processeur-30-mo-smart-cache-boite-bx8071512900ks,"Senetic Maroc",has_dot
130722,3.16,"3.16 DH","HP 826A Cartouche de tonerOriginal Jaune (CF312A)",hp-826a-cartouche-de-toner-original-jaune-cf312a,"Senetic Maroc",has_dot
134675,3.17,"3.17 DH","Seagate SkyHawk AI 10 TB 3.5"" SATA III (ST10000VE0008)",seagate-sky-hawk-ai-10-tb-3-5-sata-iii-st10000ve0008,"Senetic Maroc",has_dot
143146,3.17,"3.17 DH","D-Link Points d’accès extérieurs Wi‑Fi AC1300 Wave 2 gérés dans le cloud (DBA-3620P)",d-link-points-d-acces-exterieurs-wi-fi-ac1300-wave-2-geres-dans-le-cloud-dba-3620p,"Senetic Maroc",has_dot
134127,3.18,"3.18 DH","Exos 7E10 10TB 512e SATA 3,5 ST10000NM017B (ST10000NM017B)",exos-7e10-10tb-512e-sata-3-5-st10000nm017b-st10000nm017b,"Senetic Maroc",has_dot
135091,3.19,"3.19 DH","TP-Link Managed Switch L2 JetStream, 48 ports gibabit +4 x SFP (TL-SG3452)",tp-link-managed-switch-l2-jet-stream-48-ports-gibabit-4-x-sfp-tl-sg3452,"Senetic Maroc",has_dot
124245,3.21,"3.21 DH","Jabra Evolve2 85, MS Stereo Casque Avec fil &sans fil Arceau Bureau/Centre d'appels USB Type-A Bluetooth Noir (28599-999-999)",jabra-evolve2-85-ms-stereo-casque-avec-fil-sans-fil-arceau-bureau-centre-d-appels-usb-type-a-bluetooth-noir-28599-999-999,"Senetic Maroc",has_dot
127250,3.22,"3.22 DH","Gigabyte X570 AORUS ULTRA (rev. 1.0) AMD X570 Emplacement AM4 ATX (X570 AORUS ULTRA)",gigabyte-x570-aorus-ultra-rev-1-0-amd-x570-emplacement-am4-atx-x570-aorus-ultra,"Senetic Maroc",has_dot
134061,3.23,"3.23 DH","Samsung MZ-V8P2T0BW disque SSD M.2 2000 GB PCI Express 4.0 V-NAND MLC NVMe (MZ-V8P2T0BW)",samsung-mz-v8p2t0bw-disque-ssd-m-2-2000-gb-pci-express-4-0-v-nand-mlc-nv-me-mz-v8p2t0bw,"Senetic Maroc",has_dot
123687,3.25,"3.25 DH","Lave-linge Whirlpool 7 kg 1200T A+++ InoxWMTA 7122 S NA",lave-linge-whirlpool-7-kg-1200t-a-inox-wmta-7122-s-na,Biougnach,has_dot
142054,3.27,"3.27 DH","Canon imageFORMULA DR-C230 Alimentation papier de scanner 600 x 600 DPI A4 Noir (2646C003)",canon-image-formula-dr-c230-alimentation-papier-de-scanner-600-x-600-dpi-a4-noir-2646c003,"Senetic Maroc",has_dot
134032,3.28,"3.28 DH","Hewlett Packard Enterprise 765466-B21 disque dur 2.5"" 2000 Go SAS (765466-B21)",hewlett-packard-enterprise-765466-b21-disque-dur-2-5-2000-go-sas-765466-b21,"Senetic Maroc",has_dot
134635,3.34,"3.34 DH","Western Digital 12 TB Purple 3.5"" SATA III (WD121PURZ)",western-digital-12-tb-purple-3-5-sata-iii-wd121purz,"Senetic Maroc",has_dot
108411,3.35,"3.35 DH","Réfrigérateur BEKO / RDSA32SX avec congélateur en haut",refrigerateur-beko-rdsa32sx-avec-congelateur-en-haut,Biougnach,has_dot
141037,3.35,"3.35 DH","AMD Ryzen 7 5800X3D processeur 3,4 GHz 96 Mo L3 (100-100000651WOF)",amd-ryzen-7-5800x3d-processeur-3-4-g-hz-96-mo-l3-100-100000651wof,"Senetic Maroc",has_dot
134376,3.36,"3.36 DH","Hewlett Packard Enterprise 881457-B21 disque dur 2.5"" 2400 Go SAS",hewlett-packard-enterprise-881457-b21-disque-dur-2-5-2400-go-sas,"Senetic Maroc",has_dot
114624,3.43,"3.43 DH","Samsung 32"" Moniteur UHD incurvé UR590C (LU32R590CWRXEN)",samsung-32-moniteur-uhd-incurve-ur590c-lu32r590cwrxen,"Senetic Maroc",has_dot
125094,3.46,"3.46 DH","QNAP QSW-M2108-2S commutateur réseau Géré L2 2.5G Ethernet (100/1000/2500) Gris",qnap-qsw-m2108-2s-commutateur-reseau-gere-l2-2-5g-ethernet-100-1000-2500-gris,"Senetic Maroc",has_dot
123465,3.48,"3.48 DH","ASUS ROG Strix XG27AQMR écran plat de PC 27"" 2560 x 1440 pixels Quad HD LED Noir",asus-rog-strix-xg27aqmr-ecran-plat-de-pc-27-2560-x-1440-pixels-quad-hd-led-noir,"Senetic Maroc",has_dot
143668,3.48,"3.48 DH","ASUS ROG Strix XG27AQ écran plat de PC 68,6 cm (27"") 2560 x 1440 pixels LED Noir",asus-rog-strix-xg27aq-ecran-plat-de-pc-68-6-cm-27-2560-x-1440-pixels-led-noir,"Senetic Maroc",has_dot
114634,3.5,"3.50 DH","Samsung 34"" Moniteur Ultrawide WQHD SJ55W (LS34J550WQRXEN)",samsung-34-moniteur-ultrawide-wqhd-sj55w-ls34j550wqrxen,"Senetic Maroc",has_dot
142268,3.53,"3.53 DH","Synology DiskStation DS220+ serveur de stockage NAS Compact Ethernet/LAN Noir J4025",synology-disk-station-ds220-serveur-de-stockage-nas-compact-ethernet-lan-noir-j4025,"Senetic Maroc",has_dot
